danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,explicit,label,row_index,genre_phase
0.904,0.817,8.0,-3.956,1.0,0.0871,0.0254,0.000141,0.232,0.753,101.988,4.0,217361.0,0,0,9611,3
0.743,0.821,7.0,-4.262,1.0,0.0415,0.424,1.31e-06,0.0923,0.926,127.003,4.0,210708.0,0,0,9612,3
0.716,0.868,11.0,-4.259,1.0,0.0332,0.098,6.38e-05,0.264,0.69,120.124,4.0,160960.0,0,0,9613,3
0.624,0.909,4.0,-3.079,0.0,0.0745,0.158,0.0,0.0972,0.65,93.982,4.0,188786.0,0,0,9614,3
0.763,0.726,1.0,-6.405,1.0,0.282,0.259,0.0,0.0976,0.349,139.059,4.0,126345.0,1,1,9615,3
0.771,0.381,1.0,-6.809,0.0,0.0516,0.151,0.0,0.104,0.534,94.92,4.0,164440.0,0,0,9616,3
0.565,0.569,6.0,-6.084,0.0,0.379,0.0352,8.81e-06,0.106,0.303,92.466,5.0,214825.0,1,1,9617,3
0.617,0.672,5.0,-7.817,1.0,0.0302,0.0855,0.000125,0.052,0.931,135.518,4.0,265426.0,0,0,9618,3
0.83,0.739,7.0,-5.395,0.0,0.0627,0.136,2.11e-06,0.162,0.631,97.993,4.0,240413.0,1,0,9619,3
0.922,0.927,11.0,-3.025,1.0,0.105,0.283,0.00331,0.719,0.796,129.978,4.0,219000.0,1,1,9620,3
0.668,0.88,0.0,-7.057,1.0,0.261,0.217,1.95e-06,0.114,0.399,90.946,4.0,205880.0,0,0,9621,3
0.523,0.689,10.0,-6.58,1.0,0.027,0.228,0.0,0.109,0.547,84.09,4.0,246240.0,0,1,9622,3
0.682,0.919,0.0,-3.18,0.0,0.0874,0.256,0.0,0.443,0.535,95.983,4.0,159735.0,0,0,9623,3
0.616,0.557,8.0,-8.698,1.0,0.286,0.693,0.0,0.16,0.425,119.846,5.0,154671.0,0,0,9624,3
0.815,0.565,1.0,-10.499,0.0,0.0902,0.213,0.000239,0.0952,0.705,103.955,4.0,119290.0,0,0,9625,3
0.722,0.655,0.0,-6.425,1.0,0.137,0.0525,0.0,0.115,0.532,95.022,4.0,207333.0,1,0,9626,3
0.557,0.586,0.0,-11.439,1.0,0.184,0.134,4.06e-05,0.0365,0.928,89.64,4.0,151856.0,1,0,9627,3
0.401,0.488,2.0,-8.417,1.0,0.0288,0.6,0.0,0.124,0.455,149.951,3.0,243570.0,0,1,9628,3
0.726,0.809,7.0,-4.192,1.0,0.358,0.47,0.0,0.3,0.622,79.969,4.0,264000.0,0,1,9629,3
0.761,0.461,0.0,-8.466,1.0,0.119,0.252,0.0,0.0248,0.795,165.222,4.0,232506.0,0,0,9630,3
0.817,0.72,5.0,-8.134,0.0,0.0809,0.172,0.000726,0.109,0.384,119.989,4.0,180563.0,0,0,9631,3
0.784,0.59,11.0,-7.355,0.0,0.0879,0.0116,0.00174,0.0434,0.944,144.981,4.0,289933.0,0,0,9632,3
0.517,0.707,7.0,-5.474,1.0,0.0693,0.0164,0.0,0.453,0.264,82.859,4.0,174398.0,1,0,9633,3
0.78,0.725,6.0,-6.032,1.0,0.0503,0.288,0.0,0.0851,0.431,100.92,4.0,271720.0,0,0,9634,3
0.847,0.558,8.0,-5.855,0.0,0.0663,0.325,0.0,0.135,0.495,98.062,4.0,131077.0,0,1,9635,3
0.772,0.658,1.0,-5.612,0.0,0.226,0.0622,0.0,0.0997,0.16,129.345,5.0,183092.0,1,0,9636,3
0.715,0.61,4.0,-5.095,0.0,0.0522,0.175,0.0,0.0949,0.771,79.973,4.0,195333.0,0,0,9637,3
0.787,0.749,8.0,-10.028,1.0,0.0579,0.448,0.00147,0.146,0.737,112.949,4.0,113011.0,0,0,9638,3
0.766,0.622,11.0,-7.48,1.0,0.359,0.317,0.00798,0.0849,0.426,187.936,4.0,166322.0,0,0,9639,3
0.706,0.785,4.0,-4.173,0.0,0.0385,0.000139,0.0506,0.236,0.893,123.029,4.0,234453.0,0,0,9640,3
0.703,0.834,0.0,-5.491,1.0,0.0508,0.0396,1.32e-06,0.178,0.537,127.944,4.0,196025.0,0,0,9641,3
0.711,0.525,7.0,-4.589,1.0,0.043,0.582,0.0,0.0851,0.928,150.215,1.0,222404.0,0,0,9642,3
0.762,0.649,11.0,-5.624,0.0,0.0527,0.58,1.7e-05,0.0971,0.501,145.09,4.0,239146.0,1,0,9643,3
0.804,0.745,4.0,-5.805,0.0,0.0744,0.112,0.0,0.0925,0.512,95.024,4.0,188733.0,0,0,9644,3
0.642,0.804,7.0,-2.133,0.0,0.29,0.794,0.0,0.145,0.493,150.109,4.0,154343.0,0,0,9645,3
0.486,0.492,3.0,-5.865,1.0,0.0489,0.739,0.0,0.233,0.95,109.086,1.0,178272.0,0,0,9646,3
0.619,0.833,5.0,-6.196,0.0,0.286,0.129,0.0,0.065,0.642,132.021,5.0,182571.0,0,0,9647,3
0.813,0.786,6.0,-4.133,0.0,0.154,0.107,0.0,0.238,0.828,175.908,4.0,234560.0,0,0,9648,3
0.711,0.731,2.0,-6.651,1.0,0.0569,0.233,0.0,0.178,0.474,130.0,4.0,195397.0,0,1,9649,3
0.759,0.843,8.0,-3.718,1.0,0.0913,0.127,0.0,0.114,0.56,105.016,4.0,263666.0,0,0,9650,3
0.479,0.598,1.0,-5.807,0.0,0.323,0.0536,0.0,0.456,0.244,110.456,3.0,327560.0,1,0,9651,3
0.9,0.795,0.0,-5.056,1.0,0.073,0.107,0.00631,0.131,0.745,101.978,4.0,131039.0,1,0,9652,3
0.785,0.523,7.0,-5.853,1.0,0.0489,0.144,0.0,0.117,0.134,100.002,4.0,143375.0,0,0,9653,3
0.791,0.745,11.0,-3.695,0.0,0.0464,0.354,2.93e-05,0.104,0.82,94.014,4.0,188560.0,0,1,9654,3
0.836,0.703,4.0,-3.554,0.0,0.0657,0.0845,0.0,0.138,0.902,94.048,4.0,226093.0,0,1,9655,3
0.849,0.701,6.0,-4.407,0.0,0.06,0.407,0.0,0.112,0.505,98.005,4.0,261665.0,0,1,9656,3
0.55,0.729,2.0,-13.779,1.0,0.148,0.089,0.0,0.0462,0.344,113.295,4.0,265306.0,0,0,9657,3
0.751,0.821,6.0,-4.212,0.0,0.0554,0.732,0.0,0.35,0.827,110.078,4.0,217090.0,0,0,9658,3
0.671,0.6,1.0,-7.186,0.0,0.0816,0.13,0.0,0.105,0.409,87.453,4.0,220415.0,0,0,9659,3
0.723,0.706,3.0,-4.417,1.0,0.0644,0.104,0.0,0.422,0.585,90.919,4.0,216263.0,0,0,9660,3
0.788,0.605,1.0,-5.586,1.0,0.0578,0.00899,0.00275,0.318,0.427,103.94,4.0,173973.0,0,1,9661,3
0.607,0.518,5.0,-7.202,0.0,0.246,0.335,0.0,0.194,0.608,189.876,4.0,193586.0,0,0,9662,3
0.822,0.744,9.0,-6.096,1.0,0.094,0.173,7.03e-05,0.0692,0.747,94.04,4.0,206986.0,0,0,9663,3
0.637,0.547,1.0,-6.374,1.0,0.206,0.166,0.0,0.0725,0.716,82.73,4.0,193908.0,0,0,9664,3
0.571,0.732,7.0,-6.068,0.0,0.154,0.116,0.0,0.378,0.584,82.825,4.0,217142.0,0,0,9665,3
0.772,0.843,8.0,-4.645,0.0,0.0481,0.0204,7.03e-06,0.0885,0.822,104.992,4.0,207800.0,0,0,9666,3
0.76,0.767,7.0,-5.341,0.0,0.196,0.186,0.0,0.156,0.652,89.988,4.0,142750.0,1,0,9667,3
0.796,0.517,9.0,-8.032,1.0,0.0793,0.494,0.0,0.134,0.803,127.986,4.0,173565.0,0,0,9668,3
0.812,0.697,10.0,-3.441,1.0,0.0694,0.134,0.0,0.147,0.477,92.03,4.0,218693.0,0,1,9669,3
0.203,0.876,4.0,-5.872,0.0,0.223,0.000248,0.0,0.762,0.365,172.825,4.0,295480.0,0,0,9670,3
0.566,0.862,7.0,-6.02,0.0,0.105,0.0246,0.0,0.103,0.455,147.974,4.0,220312.0,0,1,9671,3
0.671,0.467,0.0,-7.025,1.0,0.0402,0.655,0.0,0.306,0.98,107.794,4.0,146733.0,0,0,9672,3
0.917,0.628,1.0,-7.542,1.0,0.188,0.362,0.273,0.102,0.828,103.993,4.0,185769.0,1,0,9673,3
0.821,0.666,10.0,-7.129,0.0,0.135,0.222,0.0,0.14,0.582,123.815,4.0,174160.0,0,0,9674,3
0.86,0.673,5.0,-4.283,0.0,0.112,0.467,0.0,0.151,0.382,105.058,4.0,201195.0,1,0,9675,3
0.736,0.878,1.0,-3.604,0.0,0.0428,0.0682,6.4e-05,0.756,0.662,100.024,4.0,209786.0,0,0,9676,3
0.792,0.804,3.0,-4.752,1.0,0.259,0.537,0.0,0.342,0.807,96.041,4.0,234546.0,0,0,9677,3
0.724,0.806,9.0,-3.993,1.0,0.175,0.054,0.0,0.053,0.449,102.924,4.0,152824.0,1,0,9678,3
